Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
6403180,Robe de marié,Pierre Lemaitre,"Lemaitre, Pierre",,"=""2702139752""","=""9782702139752""",0,3.94,Calmann-Lévy,Paperback,270,2009,2009,,2022/12/07,to-read,to-read (#182),to-read,,,,0,0
24322147,"Vernon Subutex 1 (Vernon Subutex, #1)",Virginie Despentes,"Despentes, Virginie",,"=""224671351X""","=""9782246713517""",0,3.91,Grasset,Paperback,430,2015,2015,,2022/12/07,to-read,to-read (#181),to-read,,,,0,0
58789056,Need to Know: World War II and the Rise of American Intelligence,Nicholas E. Reynolds,"Reynolds, Nicholas E.",,"=""0062967479""","=""9780062967473""",0,3.87,Custom House ,Hardcover,400,2022,2022,,2022/11/28,to-read,to-read (#180),to-read,,,,0,0
59882928,Jollof Rice and Other Revolutions: A Novel in Interlocking Stories,Omolola Ijeoma Ogunyemi,"Ogunyemi, Omolola Ijeoma",,"=""0063117045""","=""9780063117044""",0,3.96,Amistad,Hardcover,238,2022,2022,,2022/11/25,to-read,to-read (#179),to-read,,,,0,0
566328,The Betrothed,Alessandro Manzoni,"Manzoni, Alessandro",Bruce Penman,"=""014044274X""","=""9780140442748""",0,3.87,Penguin Classics,Paperback,720,1984,1827,,2022/11/25,to-read,to-read (#178),to-read,,,,0,0
61276760,Arthur Miller Lib/E: American Witness,John Lahr,"Lahr, John",,"=""""","=""9798212197731""",0,3.96,Blackstone Publishing,Audio CD,,2022,,,2022/11/03,to-read,to-read (#177),to-read,,,,0,0
55922488,Cinema Speculation,Quentin Tarantino,"Tarantino, Quentin",,"=""0063112582""","=""9780063112582""",0,4.05,HarperCollins,Hardcover,391,2022,2022,,2022/10/31,to-read,to-read (#176),to-read,,,,0,0
45734815,README.txt,Chelsea Manning,"Manning, Chelsea",,"=""0374279276""","=""9780374279271""",0,4.23,"Farrar, Straus and Giroux",Hardcover,272,2022,2022,,2022/10/18,to-read,to-read (#175),to-read,,,,0,0
54788896,Como polvo en el viento,Leonardo Padura,"Padura, Leonardo",,"=""8490668612""","=""9788490668610""",0,4.15,Tusquets Editores,Paperback,672,2020,2020,,2022/10/10,to-read,to-read (#174),to-read,,,,0,0
4137,Me Talk Pretty One Day,David Sedaris,"Sedaris, David",,"=""0349113912""","=""9780349113913""",0,4.01,"Little, Brown and Company",Paperback,272,2001,2000,,2022/09/10,to-read,to-read (#173),to-read,,,,0,0
